database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,pos_transaction_number,int,8,,f,,,45035996273707226-11
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,product_key,int,8,,f,,,45035996273707226-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,product_version,int,8,,f,,,45035996273707226-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,promotion_key,int,8,,f,,,45035996273707226-10
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,sale_date_key,int,8,,f,,,45035996273707226-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,sales_dollar_amount,float,8,,t,,,45035996273707226-13
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,sales_quantity,int,8,,t,,,45035996273707226-12
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,ship_date_key,int,8,,f,,,45035996273707226-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,ship_dollar_amount,float,8,,t,,,45035996273707226-14
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,shipping_key,int,8,,f,,,45035996273707226-8
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,transaction_type,varchar(16),16,,t,,,45035996273707226-18
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,warehouse_key,int,8,,f,,,45035996273707226-9
