,database_name,database_creator,database_owner,database_desc,database_create_time,database_update_time,database_update_user,table_name,table_creator,table_desc,table_create_time,table_update_time,table_update_user,column_name,column_creator,column_desc,column_create_time,column_update_time,column_update_user,column_format,column_title,column_type,column_length,column_default_value,column_nullable,column_decimal_total_digits,column_decimal_fractional_digits,column_id
29,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_COMMENT,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,X(79),,CV  ,79,,N ,,,1033
30,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_CUSTKEY,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,-(10)9,,I   ,4,,N ,,,1026
31,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_ORDERDATE,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,yyyy-mm-dd,,DA  ,4,,N ,,,1029
32,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_ORDERKEY,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,-(10)9,,I   ,4,,N ,,,1025
33,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_ORDERPRIORITY,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,X(15),,CF  ,15,,N ,,,1030
34,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_ORDERSTATUS,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,X(1),,CF  ,1,,N ,,,1027
35,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_SHIPPRIORITY,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,-(10)9,,I   ,4,,N ,,,1032
36,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_TOTALPRICE,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1028
37,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_BRAND,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(10),,CF  ,10,,N ,,,1028
38,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,part,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,P_COMMENT,DBC,,2018-07-27 20:02:50,2018-07-27 20:02:50,DBC,X(23),,CV  ,23,,N ,,,1033
